Date,"""Weird_Al""_Yankovic_en.wikipedia.org_desktop_all-agents",100_metres_en.wikipedia.org_desktop_all-agents,10_Gigabit_Ethernet_en.wikipedia.org_desktop_all-agents,1551_en.wikipedia.org_desktop_all-agents,1896_Summer_Olympics_en.wikipedia.org_desktop_all-agents,1918_flu_pandemic_en.wikipedia.org_desktop_all-agents,1936_Summer_Olympics_en.wikipedia.org_desktop_all-agents,1976_Summer_Olympics_en.wikipedia.org_desktop_all-agents,1980_Summer_Olympics_en.wikipedia.org_desktop_all-agents,1984_Summer_Olympics_en.wikipedia.org_desktop_all-agents,1989_(Taylor_Swift_album)_en.wikipedia.org_desktop_all-agents,1999_(Prince_album)_en.wikipedia.org_desktop_all-agents,2000_Summer_Olympics_en.wikipedia.org_desktop_all-agents,2002_FIFA_World_Cup_en.wikipedia.org_desktop_all-agents,2003_invasion_of_Iraq_en.wikipedia.org_desktop_all-agents,2007_tuberculosis_scare_en.wikipedia.org_desktop_all-agents,2008_Summer_Olympics_en.wikipedia.org_desktop_all-agents,2008_Summer_Olympics_medal_table_en.wikipedia.org_desktop_all-agents,2012_Benghazi_attack_en.wikipedia.org_desktop_all-agents,2012_Summer_Olympics_en.wikipedia.org_desktop_all-agents,2012_Summer_Olympics_medal_table_en.wikipedia.org_desktop_all-agents,2014_FIFA_World_Cup_en.wikipedia.org_desktop_all-agents,2015_NCAA_Men's_Division_I_Basketball_Tournament_en.wikipedia.org_desktop_all-agents,2015_in_film_en.wikipedia.org_desktop_all-agents,2016_Asia_Cup_en.wikipedia.org_desktop_all-agents,2016_Democratic_National_Convention_en.wikipedia.org_desktop_all-agents,2016_European_Men's_Handball_Championship_en.wikipedia.org_desktop_all-agents,2016_FIFA_Club_World_Cup_en.wikipedia.org_desktop_all-agents,2016_FIFA_Futsal_World_Cup_en.wikipedia.org_desktop_all-agents,2016_Giro_d'Italia_en.wikipedia.org_desktop_all-agents,2016_ICC_World_Twenty20_en.wikipedia.org_desktop_all-agents,2016_IIHF_World_Championship_en.wikipedia.org_desktop_all-agents,2016_Indian_Premier_League_en.wikipedia.org_desktop_all-agents,2016_NBA_All-Star_Game_en.wikipedia.org_desktop_all-agents,2016_NFL_Draft_en.wikipedia.org_desktop_all-agents,2016_NHL_Entry_Draft_en.wikipedia.org_desktop_all-agents,2016_Republican_National_Convention_en.wikipedia.org_desktop_all-agents,2016_Summer_Olympics_closing_ceremony_en.wikipedia.org_desktop_all-agents,2016_Summer_Olympics_medal_table_en.wikipedia.org_desktop_all-agents,2016_Summer_Olympics_opening_ceremony_en.wikipedia.org_desktop_all-agents,2016_Summer_Paralympics_en.wikipedia.org_desktop_all-agents,2016_Thomas_&_Uber_Cup_en.wikipedia.org_desktop_all-agents,2016_Tour_de_France_en.wikipedia.org_desktop_all-agents,2016_UEFA_Europa_League_Final_en.wikipedia.org_desktop_all-agents,2016_United_States_men's_Olympic_basketball_team_en.wikipedia.org_desktop_all-agents,2016_World_Cup_of_Hockey_en.wikipedia.org_desktop_all-agents,2017_FIFA_Confederations_Cup_en.wikipedia.org_desktop_all-agents,2017_NBA_All-Star_Game_en.wikipedia.org_desktop_all-agents,2018_FIFA_World_Cup_qualification_en.wikipedia.org_desktop_all-agents,2018_FIFA_World_Cup_qualification_(CONMEBOL)_en.wikipedia.org_desktop_all-agents,2018_FIFA_World_Cup_qualification_(UEFA)_en.wikipedia.org_desktop_all-agents,2018_Winter_Olympics_en.wikipedia.org_desktop_all-agents,2020_Summer_Olympics_en.wikipedia.org_desktop_all-agents,2022_Winter_Olympics_en.wikipedia.org_desktop_all-agents,2024_Summer_Olympics_en.wikipedia.org_desktop_all-agents,2028_Summer_Olympics_en.wikipedia.org_desktop_all-agents,3_Doors_Down_en.wikipedia.org_desktop_all-agents,4K_resolution_en.wikipedia.org_desktop_all-agents,58th_Annual_Grammy_Awards_en.wikipedia.org_desktop_all-agents,88th_Academy_Awards_en.wikipedia.org_desktop_all-agents,A.C._Milan_en.wikipedia.org_desktop_all-agents,A.J._Styles_en.wikipedia.org_desktop_all-agents,AC/DC_en.wikipedia.org_desktop_all-agents,AK-47_en.wikipedia.org_desktop_all-agents,AMGTV_en.wikipedia.org_desktop_all-agents,AR-15_en.wikipedia.org_desktop_all-agents,A_Monster_Calls_(film)_en.wikipedia.org_desktop_all-agents,A_Series_of_Unfortunate_Events_en.wikipedia.org_desktop_all-agents,A_Song_of_Ice_and_Fire_en.wikipedia.org_desktop_all-agents,Aamir_Khan_en.wikipedia.org_desktop_all-agents,Aaron_Lewis_en.wikipedia.org_desktop_all-agents,Aberfan_disaster_en.wikipedia.org_desktop_all-agents,Academy_Award_for_Best_Actor_en.wikipedia.org_desktop_all-agents,Academy_Award_for_Best_Picture_en.wikipedia.org_desktop_all-agents,Adam_Johnson_(footballer)_en.wikipedia.org_desktop_all-agents,Adam_Levine_en.wikipedia.org_desktop_all-agents,Adele_en.wikipedia.org_desktop_all-agents,Adewale_Akinnuoye-Agbaje_en.wikipedia.org_desktop_all-agents,Adobe_Photoshop_en.wikipedia.org_desktop_all-agents,Adolf_Hitler_en.wikipedia.org_desktop_all-agents,Agent_Carter_(season_2)_en.wikipedia.org_desktop_all-agents,Agents_of_S.H.I.E.L.D._en.wikipedia.org_desktop_all-agents,Agile_software_development_en.wikipedia.org_desktop_all-agents,Ahrar_ash-Sham_en.wikipedia.org_desktop_all-agents,Airlift_(film)_en.wikipedia.org_desktop_all-agents,Akshay_Kumar_en.wikipedia.org_desktop_all-agents,Aladdin_Sane_en.wikipedia.org_desktop_all-agents,Alan_Colmes_en.wikipedia.org_desktop_all-agents,Alan_Thicke_en.wikipedia.org_desktop_all-agents,Alan_Tudyk_en.wikipedia.org_desktop_all-agents,Alaska_en.wikipedia.org_desktop_all-agents,"Albert,_Prince_Consort_en.wikipedia.org_desktop_all-agents",Albert_Einstein_en.wikipedia.org_desktop_all-agents,Albus_Dumbledore_en.wikipedia.org_desktop_all-agents,Alex_(parrot)_en.wikipedia.org_desktop_all-agents,Alex_Jones_(radio_host)_en.wikipedia.org_desktop_all-agents,Alexander_I_of_Russia_en.wikipedia.org_desktop_all-agents,Alexandre_Pato_en.wikipedia.org_desktop_all-agents,Alexis_Arquette_en.wikipedia.org_desktop_all-agents,Alexis_Ohanian_en.wikipedia.org_desktop_all-agents
2015-07-14,1600,978,1167,20,414,890,696,491,432,543,4380,227,632,1577,1141,46,963,241,1273,2511,1127,4975,267,27232,127,516,131,396,179,38,1990,91,496,330,10,208,468,24,13,83,131,13,508,141,106,98,1798,91,2220,349,804,799,1607,949,1672,444,727,3813,4,332,6232,715,5299,2649,42,1558,480,1582,7909,2864,1150,189,1790,3402,523,4040,2976,24882,2267,9453,13,6219,5729,320,546,2238,432,154,459,1310,3967,905,7956,863,519,1376,501,954,544,5287
2015-07-15,1655,824,1117,24,364,810,668,627,494,592,4271,258,770,1548,1195,12,961,226,1086,2376,1137,4222,244,26510,120,456,109,460,145,50,1891,295,319,390,8,174,475,38,11,93,142,5,492,138,160,46,1352,198,2133,297,674,824,1776,997,1793,469,877,3992,13,303,5536,647,5510,2487,62,1489,481,1481,7703,2798,897,177,1664,3146,363,3571,2908,11094,2241,10293,11,5643,5807,352,808,2398,342,180,605,1136,3575,790,8111,883,362,1479,539,978,516,4194
2015-07-16,1733,971,1127,12,338,817,649,1773,473,613,3860,236,764,1596,1151,23,1059,211,1382,2912,1087,4140,247,26597,138,479,79,419,219,55,1657,136,201,205,9,158,475,26,2,81,117,7,498,164,245,47,1405,60,2214,291,696,788,1775,991,1812,456,857,3600,10,322,4918,713,5544,2300,40,1577,409,1944,7354,3117,760,152,1483,3108,332,3542,2979,6180,2232,9782,11,5968,6022,288,954,2356,405,133,541,1033,3457,903,7687,840,542,1627,444,793,717,1691
2015-07-17,1550,1068,913,14,304,687,559,1491,494,596,3710,221,891,1453,1093,31,1058,182,1021,2308,997,3529,204,27803,143,425,79,409,152,56,1792,113,165,233,4,151,391,28,6,94,118,10,438,218,151,44,971,51,1746,264,725,959,2838,1159,2050,528,2518,3249,16,328,4309,762,5130,2757,32,1741,532,1202,6241,3087,620,136,1785,3071,365,3406,3097,4640,2018,9561,29,5292,4449,174,730,2361,406,130,602,920,3091,880,6458,932,340,1276,527,696,582,1357
2015-07-18,1365,711,337,9,302,632,631,662,416,428,3594,189,808,1159,1036,35,1000,213,780,1983,943,3233,206,26068,102,350,65,301,197,54,1846,65,210,181,15,123,330,31,18,70,93,14,378,109,88,67,1119,91,1814,268,655,592,1918,840,1347,427,4123,2467,12,288,4297,795,4554,2484,38,1289,372,998,4874,3203,448,89,1754,3342,203,2927,2723,3769,1783,9005,11,5425,1733,152,611,2433,429,107,394,816,2615,1556,6131,1063,212,933,399,509,510,727
2015-07-19,1526,734,374,8,304,627,604,575,679,582,3606,246,702,1282,1039,27,942,281,811,1944,1046,3302,170,27989,130,407,84,281,194,40,2167,73,133,159,12,116,371,31,22,58,127,7,520,92,89,35,1314,63,1981,276,763,616,1621,820,1363,380,3656,2442,16,311,4489,750,8407,2367,29,1597,474,1483,5707,3857,499,100,1720,3621,476,3204,2663,3314,1752,10083,16,6133,2205,126,697,2678,421,124,369,1131,2666,1213,6249,1491,294,960,465,603,594,555
2015-07-20,1921,876,1102,14,326,866,787,551,778,555,4092,210,796,1396,1227,22,1084,292,1037,2192,1065,4245,297,31330,151,556,103,449,223,73,2247,177,172,205,12,295,452,34,22,70,148,8,683,135,127,115,1594,61,2617,384,1100,840,1680,1044,1562,434,1484,3653,12,332,4684,796,8703,2464,30,1644,505,2184,7308,4602,579,141,1791,3619,307,3401,3279,3321,2288,10893,19,6587,5357,228,784,2889,421,141,564,1287,3513,1268,7634,1257,310,1141,571,4132,595,800
2015-07-21,1925,1131,1103,12,305,863,618,788,454,599,4237,240,659,1441,1212,13,1605,188,1144,2161,1060,3880,250,27267,160,760,91,520,155,39,6535,127,158,222,6,179,775,34,22,73,121,8,496,149,103,116,1098,52,2950,384,1182,754,1527,952,1435,372,1038,3515,15,307,5099,722,5700,2438,34,1729,515,1213,10059,3939,625,137,1940,3709,274,4234,3457,2830,2276,10116,10,6126,5804,398,693,2740,406,140,525,974,3549,1305,7887,1001,301,1300,574,3698,617,625
2015-07-22,1977,1442,1114,23,305,909,613,892,461,535,4710,219,691,1366,1228,11,1123,211,1106,2370,1002,3906,227,27613,175,616,119,572,154,52,4622,94,165,242,9,161,670,44,23,80,133,15,651,165,156,107,2030,66,3688,458,2185,787,1699,1132,1818,461,907,3569,15,323,4408,790,5623,2721,42,1756,411,1113,7881,3756,569,153,1859,3661,228,4191,3430,2312,2801,10026,19,5663,5785,330,616,2434,483,231,713,1050,3637,1034,7964,1087,1171,1136,565,1354,486,551
2015-07-23,1641,1901,1137,38,311,847,607,577,428,621,4620,290,723,1820,1284,21,1076,201,1025,2218,939,4201,326,29470,189,572,99,669,133,76,5278,70,155,270,6,202,595,74,23,100,176,11,630,235,123,47,6872,53,4826,551,2304,803,1657,1214,1706,454,868,3408,11,353,4175,1119,5663,2562,35,1723,450,1016,7100,3477,560,166,2174,3511,224,3653,3181,2163,2389,9515,11,5410,5680,208,630,2617,417,126,486,934,3734,1002,8515,893,264,1095,543,1123,503,783
2015-07-24,1783,2024,969,12,399,778,684,583,662,798,3987,291,915,1424,1143,13,1294,205,1248,2871,1086,3845,199,30674,188,517,86,499,117,72,4497,104,139,182,6,168,474,32,19,97,286,6,612,177,141,40,2716,46,7860,1220,4584,1266,3831,1619,2660,656,754,3168,14,285,4150,719,5082,2424,43,1934,451,977,6338,3492,496,163,1782,3588,251,3587,3108,2084,2118,9707,8,7419,4471,183,611,2863,420,157,443,992,3474,1066,7315,913,468,1316,669,839,486,538
2015-07-25,1517,2180,395,15,419,575,567,565,686,719,3677,206,832,1471,1039,10,1316,217,2021,2739,997,4935,175,26943,152,324,64,471,143,107,3545,73,158,156,2,92,390,26,28,97,241,15,1009,101,195,37,2607,38,46544,9851,27208,1171,3436,1526,2691,746,671,2467,13,292,6344,741,4526,2419,24,1602,411,900,4782,3231,389,140,1480,3113,181,8174,2978,1587,1930,7801,9,5390,2038,165,617,2591,386,98,382,995,2755,957,5781,1296,1253,877,444,587,458,353
2015-07-26,2098,1542,377,10,322,737,678,543,547,660,3648,229,751,1405,1319,10,1171,211,1925,2691,1074,4155,147,27572,182,422,77,386,231,143,2828,79,119,173,7,107,465,45,19,80,232,22,2084,82,219,50,2513,54,27018,4605,14163,1068,2362,1692,3121,641,741,2521,16,340,4655,703,4975,2226,29,1549,454,903,5350,3418,360,174,1789,3707,188,3454,3113,1664,2299,9024,17,5488,2260,129,583,2721,403,100,402,1110,2799,938,6845,1755,395,937,510,1735,581,394
2015-07-27,1898,1468,1090,13,435,1714,856,957,694,1330,3937,251,1063,1586,1248,15,1525,224,1472,3544,1237,4633,248,30941,205,656,100,503,152,111,3045,94,122,227,7,131,661,59,21,140,242,8,2229,134,275,41,8041,78,16159,2691,6456,2448,6139,5247,17864,2597,815,3471,20,371,5066,852,5367,3193,35,1874,622,1137,6793,3932,512,158,1946,3646,224,3330,3555,1878,2672,9786,22,6323,5564,207,690,2856,465,181,492,1089,3796,904,8137,1383,344,1113,524,1359,715,572
2015-07-28,1749,1193,1186,15,516,1041,1085,903,665,2216,3742,275,1091,1477,1324,17,1593,202,1746,2955,926,3885,249,27163,142,579,105,471,139,88,2066,99,128,217,7,362,638,45,22,171,218,12,931,154,168,53,2485,49,7380,1539,2958,2010,5422,4505,13683,2212,780,3625,7,334,5436,780,5257,3859,33,1789,1023,1106,6322,3734,500,174,1783,3376,239,3129,3429,1769,2519,9739,11,6006,5798,250,636,2720,478,163,626,940,3788,880,8306,1040,443,1028,573,875,1709,474
2015-07-29,2287,1371,1159,16,454,934,977,678,554,1020,3600,243,1033,1399,1204,26,1335,154,20729,2333,735,3550,226,25631,142,627,99,498,136,54,1616,116,127,207,10,267,585,71,20,137,208,19,555,224,130,70,1594,46,4526,921,1863,1266,2684,2827,4694,950,861,3445,12,313,4333,750,5175,3052,42,1846,599,1077,5929,3503,495,123,1710,3192,232,3296,3315,1800,3480,9751,17,5497,5886,218,634,2651,509,191,578,1510,3875,883,8269,947,345,944,637,1925,721,592
2015-07-30,1773,889,1144,16,415,807,737,753,544,733,3533,265,962,1289,1207,16,1320,133,10237,3386,1337,3301,222,25659,149,541,91,472,101,38,1784,83,110,188,6,117,515,36,19,102,161,13,386,247,175,53,997,43,3693,728,1442,1588,3053,3821,3499,794,852,3471,7,294,8462,790,4763,2800,27,1659,424,1092,5690,3453,474,175,1747,3286,214,3158,2881,1752,2391,9406,19,5112,5403,193,571,2576,428,194,776,1437,3591,1044,7714,919,305,846,526,991,507,442
