,"""Weird_Al""_Yankovic_en.wikipedia.org_desktop_all-agents",1918_flu_pandemic_en.wikipedia.org_desktop_all-agents,1989_(Taylor_Swift_album)_en.wikipedia.org_desktop_all-agents,2002_FIFA_World_Cup_en.wikipedia.org_desktop_all-agents,2003_invasion_of_Iraq_en.wikipedia.org_desktop_all-agents,2008_Summer_Olympics_en.wikipedia.org_desktop_all-agents,2012_Summer_Olympics_en.wikipedia.org_desktop_all-agents,2012_Summer_Olympics_medal_table_en.wikipedia.org_desktop_all-agents,2015_in_film_en.wikipedia.org_desktop_all-agents,2016_Democratic_National_Convention_en.wikipedia.org_desktop_all-agents
24,1517.0,575.0,3677.0,1471.0,1039.0,1316.0,2739.0,997.0,26943.0,324.0
25,2098.0,737.0,3648.0,1405.0,1319.0,1171.0,2691.0,1074.0,27572.0,422.0
26,1898.0,1714.0,3937.0,1586.0,1248.0,1525.0,3544.0,1237.0,30941.0,656.0
27,1749.0,1041.0,3742.0,1477.0,1324.0,1593.0,2955.0,926.0,27163.0,579.0
28,2287.0,934.0,3600.0,1399.0,1204.0,1335.0,2333.0,735.0,25631.0,627.0
29,1773.0,807.0,3533.0,1289.0,1207.0,1320.0,3386.0,1337.0,25659.0,541.0
30,2120.0,732.0,3606.0,1290.0,991.0,4213.0,3569.0,1010.0,26452.0,513.0
31,1970.0,621.0,3140.0,1097.0,892.0,2671.0,2487.0,788.0,26147.0,318.0
32,1642.0,1758.0,3351.0,933.0,1237.0,2643.0,2404.0,751.0,25783.0,452.0
33,1976.0,1324.0,2977.0,1012.0,1062.0,2560.0,2669.0,847.0,26368.0,581.0
34,2187.0,938.0,3417.0,1236.0,1185.0,2551.0,2971.0,934.0,25944.0,777.0
35,7085.0,873.0,7030.0,1194.0,1291.0,2294.0,3158.0,1107.0,25203.0,714.0
36,2009.0,869.0,6515.0,1115.0,1220.0,1852.0,2693.0,952.0,26109.0,1010.0
37,2016.0,787.0,5345.0,1009.0,1166.0,1496.0,2373.0,828.0,27479.0,1737.0
38,2193.0,710.0,4303.0,869.0,972.0,1533.0,2149.0,708.0,25980.0,719.0
39,1673.0,794.0,4018.0,972.0,972.0,1464.0,2293.0,808.0,26279.0,673.0
40,1593.0,820.0,4088.0,973.0,1121.0,1426.0,2319.0,731.0,27066.0,861.0
41,1685.0,882.0,4228.0,1172.0,1169.0,1511.0,2040.0,710.0,25766.0,926.0
42,1725.0,892.0,3823.0,1181.0,1280.0,1375.0,2147.0,717.0,24843.0,973.0
43,1736.0,864.0,3946.0,1178.0,1357.0,1331.0,1865.0,839.0,24280.0,750.0
44,1751.0,786.0,3715.0,1091.0,1287.0,1236.0,1840.0,684.0,26230.0,637.0
45,1437.0,1117.0,3627.0,900.0,1061.0,1280.0,1520.0,717.0,23965.0,449.0
46,1667.0,1105.0,3741.0,1016.0,1074.0,1885.0,1816.0,712.0,25174.0,480.0
47,1816.0,1364.0,4047.0,1050.0,1433.0,2563.0,2422.0,931.0,27850.0,646.0
48,1889.0,1964.0,3840.0,1084.0,1287.0,2518.0,2135.0,952.0,25518.0,1004.0
49,1877.0,1154.0,3899.0,1006.0,1300.0,2566.0,1931.0,806.0,24134.0,641.0
50,1714.0,1018.0,3950.0,1120.0,1293.0,1547.0,1799.0,692.0,32527.0,705.0
51,1711.0,1183.0,3647.0,1059.0,1521.0,1488.0,1730.0,702.0,27209.0,622.0
52,1591.0,908.0,3756.0,853.0,1136.0,1663.0,1811.0,676.0,25016.0,475.0
53,1563.0,1068.0,3790.0,833.0,1038.0,1906.0,2552.0,737.0,25713.0,450.0
54,1905.0,1039.0,5341.0,920.0,1377.0,1909.0,2882.0,774.0,27723.0,558.0
55,1931.0,1362.0,5111.0,1113.0,1300.0,1870.0,2712.0,920.0,24036.0,629.0
56,1663.0,1014.0,4639.0,953.0,1381.0,1850.0,2794.0,883.0,23530.0,668.0
57,1689.0,1063.0,4889.0,970.0,1309.0,1951.0,2940.0,924.0,23628.0,634.0
58,1568.0,833.0,4542.0,963.0,1077.0,2097.0,2634.0,838.0,26088.0,675.0
59,1552.0,700.0,4151.0,786.0,922.0,2038.0,2322.0,779.0,24357.0,485.0
60,2749.0,805.0,4637.0,883.0,1071.0,1642.0,2463.0,911.0,24112.0,548.0
61,1867.0,1006.0,14158.0,926.0,1303.0,1672.0,2122.0,945.0,27700.0,767.0
62,1743.0,1022.0,11785.0,1158.0,1268.0,1722.0,2102.0,765.0,23581.0,656.0
63,2057.0,1035.0,7341.0,1036.0,1304.0,1633.0,2146.0,743.0,23907.0,632.0
64,1992.0,1043.0,6695.0,1169.0,1605.0,1762.0,1762.0,696.0,22631.0,606.0
65,1855.0,973.0,5664.0,1379.0,1426.0,1519.0,1705.0,613.0,23942.0,483.0
66,1457.0,748.0,5357.0,1092.0,1213.0,1795.0,1484.0,618.0,21995.0,302.0
67,1428.0,875.0,5014.0,1534.0,1508.0,1618.0,1800.0,625.0,22707.0,419.0
68,1408.0,995.0,4532.0,1556.0,1481.0,1767.0,2086.0,665.0,24290.0,459.0
69,1505.0,1258.0,4827.0,1520.0,1740.0,1702.0,2173.0,682.0,25461.0,569.0
70,1470.0,1681.0,5032.0,1515.0,1773.0,1669.0,1888.0,738.0,22502.0,551.0
71,1497.0,1376.0,4601.0,1291.0,1687.0,1726.0,1982.0,685.0,21853.0,598.0
72,1583.0,1083.0,4223.0,1136.0,2530.0,1901.0,1946.0,723.0,25117.0,605.0
73,1388.0,709.0,4062.0,934.0,1927.0,1766.0,1675.0,651.0,23370.0,363.0
74,1342.0,956.0,4419.0,875.0,1920.0,1810.0,1879.0,595.0,23027.0,409.0
75,1633.0,1265.0,4145.0,948.0,1935.0,2051.0,1963.0,666.0,25541.0,639.0
76,1658.0,1336.0,3856.0,1704.0,1862.0,2208.0,1790.0,680.0,22560.0,651.0
77,1560.0,1291.0,3812.0,1194.0,1846.0,2077.0,1830.0,668.0,22308.0,707.0
78,1419.0,1279.0,4446.0,1221.0,1846.0,2180.0,1720.0,658.0,22953.0,1264.0
79,1514.0,1179.0,4716.0,1259.0,1582.0,2096.0,1754.0,724.0,24022.0,857.0
80,1424.0,760.0,3954.0,1309.0,1149.0,2113.0,1327.0,485.0,22722.0,581.0
81,1386.0,921.0,4144.0,1127.0,1392.0,2050.0,1464.0,596.0,23014.0,681.0
82,1446.0,1341.0,9048.0,1109.0,1635.0,1842.0,1717.0,598.0,24571.0,840.0
83,1522.0,2306.0,8588.0,1240.0,1867.0,2463.0,1624.0,583.0,21916.0,778.0
84,1457.0,1764.0,6528.0,1348.0,1751.0,2018.0,1645.0,697.0,21364.0,644.0
85,1582.0,1283.0,5533.0,1096.0,1547.0,2322.0,1608.0,580.0,21874.0,550.0
86,1648.0,1464.0,5504.0,1354.0,1471.0,2639.0,1564.0,647.0,23541.0,497.0
87,1316.0,810.0,4433.0,944.0,1187.0,2005.0,1266.0,568.0,21848.0,320.0
88,1323.0,936.0,4631.0,982.0,1214.0,2074.0,1345.0,581.0,21861.0,405.0
89,1499.0,1416.0,5551.0,1065.0,1629.0,2588.0,1687.0,630.0,24268.0,675.0
90,1610.0,1386.0,4678.0,1116.0,1619.0,2512.0,1560.0,802.0,21533.0,626.0
91,1547.0,1388.0,4333.0,1118.0,1761.0,1924.0,1499.0,742.0,20810.0,540.0
92,1715.0,1384.0,4148.0,1072.0,1738.0,891.0,1504.0,731.0,21387.0,584.0
93,1595.0,1247.0,4834.0,1001.0,1444.0,797.0,1530.0,780.0,22518.0,475.0
94,1476.0,863.0,4385.0,953.0,1246.0,765.0,1527.0,734.0,21430.0,315.0
95,1416.0,2314.0,4283.0,965.0,1364.0,981.0,1424.0,777.0,21241.0,383.0
96,1758.0,1493.0,4578.0,1158.0,1590.0,931.0,1758.0,862.0,24189.0,561.0
97,2018.0,1700.0,4073.0,1391.0,1670.0,930.0,1744.0,872.0,23211.0,558.0
98,1865.0,1463.0,3917.0,1538.0,1746.0,1054.0,1753.0,631.0,19852.0,565.0
99,1658.0,1485.0,3994.0,1617.0,1682.0,1208.0,1756.0,647.0,20544.0,507.0
100,1577.0,1288.0,4866.0,1692.0,1429.0,1054.0,1535.0,596.0,22456.0,473.0
101,1449.0,895.0,4359.0,1436.0,1044.0,796.0,1251.0,516.0,21550.0,285.0
102,1319.0,962.0,4112.0,1579.0,1288.0,855.0,1582.0,598.0,21062.0,320.0
103,1545.0,1334.0,4298.0,1836.0,1636.0,1125.0,1624.0,596.0,22940.0,622.0
104,1448.0,1603.0,4468.0,2256.0,1593.0,1079.0,1637.0,637.0,20976.0,1036.0
105,3521.0,1644.0,3966.0,2327.0,1823.0,1039.0,2154.0,742.0,19894.0,2068.0
106,1767.0,1624.0,3993.0,1580.0,1771.0,1341.0,1634.0,739.0,20423.0,1037.0
107,1574.0,1280.0,4062.0,1653.0,1353.0,853.0,1513.0,884.0,22715.0,806.0
108,1275.0,856.0,3751.0,1104.0,1103.0,769.0,1544.0,673.0,21269.0,464.0
109,1394.0,995.0,4144.0,1312.0,1596.0,856.0,1411.0,508.0,20971.0,471.0
110,1460.0,1624.0,4720.0,1409.0,1868.0,959.0,1631.0,682.0,23934.0,782.0
111,1417.0,1603.0,4502.0,1201.0,1782.0,996.0,1609.0,846.0,21689.0,811.0
112,1371.0,1464.0,4170.0,1216.0,1576.0,962.0,1549.0,882.0,20665.0,905.0
113,1918.0,1609.0,3905.0,1239.0,1756.0,963.0,1640.0,814.0,20952.0,794.0
114,2759.0,1469.0,4092.0,1256.0,1503.0,1188.0,1480.0,801.0,23146.0,725.0
115,1958.0,956.0,4058.0,994.0,1269.0,843.0,1283.0,760.0,20909.0,499.0
116,1327.0,1052.0,4258.0,967.0,2049.0,724.0,1468.0,816.0,20897.0,492.0
117,1433.0,1721.0,4530.0,1149.0,2267.0,1060.0,1696.0,874.0,23609.0,854.0
118,1439.0,1640.0,5356.0,1122.0,2000.0,923.0,1686.0,901.0,20148.0,809.0
119,1515.0,1709.0,4847.0,1238.0,2150.0,1150.0,1752.0,946.0,19509.0,805.0
120,1929.0,1637.0,4281.0,1174.0,2158.0,928.0,1726.0,908.0,20657.0,1024.0
121,1902.0,1380.0,3803.0,1939.0,1496.0,821.0,1502.0,748.0,20908.0,610.0
122,1328.0,897.0,3225.0,960.0,1121.0,846.0,1502.0,686.0,19667.0,356.0
123,1245.0,1044.0,3817.0,876.0,2576.0,931.0,1639.0,799.0,20895.0,342.0
124,1367.0,1488.0,3925.0,1177.0,1765.0,935.0,1805.0,754.0,22974.0,705.0
125,1477.0,1436.0,3809.0,1075.0,1927.0,1008.0,1873.0,851.0,19653.0,954.0
126,1526.0,1674.0,3646.0,1052.0,3055.0,1229.0,1628.0,783.0,20273.0,761.0
127,1654.0,1572.0,3712.0,1099.0,1990.0,1069.0,1829.0,848.0,20806.0,627.0
128,1434.0,1411.0,3290.0,1095.0,1600.0,1104.0,1587.0,796.0,22792.0,649.0
129,1222.0,1031.0,3428.0,906.0,1208.0,902.0,1225.0,730.0,22418.0,413.0
130,1580.0,1079.0,3513.0,1042.0,1493.0,1400.0,1378.0,799.0,22832.0,458.0
131,1502.0,1631.0,3639.0,1243.0,1897.0,1952.0,3387.0,2251.0,25334.0,677.0
132,1297.0,1642.0,3741.0,1317.0,1990.0,3070.0,3406.0,1925.0,21040.0,679.0
133,1411.0,1633.0,3247.0,1460.0,1944.0,2619.0,2157.0,886.0,19932.0,773.0
134,1872.0,1633.0,3501.0,1539.0,2056.0,1397.0,1938.0,709.0,20265.0,652.0
135,1388.0,1236.0,3301.0,1488.0,1771.0,976.0,1539.0,773.0,20472.0,622.0
136,1087.0,815.0,2920.0,1236.0,3783.0,1002.0,1486.0,380.0,19774.0,327.0
137,1074.0,982.0,3279.0,1415.0,4241.0,1269.0,1666.0,299.0,20195.0,607.0
138,1259.0,1466.0,3362.0,1650.0,5224.0,1486.0,1674.0,481.0,21357.0,637.0
139,1754.0,1750.0,3282.0,1761.0,4388.0,1102.0,1860.0,708.0,20209.0,580.0
140,1544.0,1627.0,3271.0,1667.0,4188.0,1176.0,1682.0,486.0,18759.0,558.0
141,1558.0,1516.0,3261.0,1341.0,3564.0,1532.0,1665.0,391.0,19073.0,577.0
142,1266.0,1445.0,3472.0,1197.0,2830.0,1116.0,1502.0,354.0,20185.0,500.0
143,1128.0,809.0,3402.0,1008.0,1918.0,935.0,1238.0,258.0,20080.0,275.0
144,1147.0,899.0,3512.0,1038.0,2134.0,1203.0,1510.0,333.0,20750.0,349.0
145,1296.0,1383.0,4515.0,1133.0,2453.0,1382.0,1606.0,581.0,21940.0,593.0
146,1863.0,1433.0,4441.0,1087.0,2469.0,1114.0,1624.0,647.0,19752.0,549.0
147,1454.0,1029.0,4219.0,1082.0,2067.0,1518.0,1528.0,641.0,20263.0,408.0
148,1106.0,930.0,3750.0,1061.0,1911.0,1185.0,1490.0,596.0,20261.0,305.0
149,1069.0,815.0,3509.0,920.0,1675.0,1458.0,1391.0,589.0,20632.0,246.0
150,1130.0,809.0,3842.0,888.0,1511.0,1048.0,1338.0,528.0,21366.0,264.0
151,1183.0,931.0,4452.0,901.0,1774.0,1351.0,1498.0,595.0,22104.0,322.0
152,1335.0,1455.0,4007.0,1035.0,2222.0,1571.0,1896.0,760.0,23444.0,511.0
153,1400.0,1596.0,3640.0,1136.0,2442.0,1452.0,1676.0,636.0,22298.0,562.0
154,1557.0,1572.0,3377.0,1185.0,2983.0,1285.0,1663.0,755.0,34402.0,625.0
155,1612.0,1586.0,3329.0,1271.0,2955.0,1496.0,1661.0,665.0,21354.0,513.0
156,2250.0,1453.0,3200.0,1199.0,2221.0,1745.0,1629.0,649.0,22821.0,497.0
157,1313.0,842.0,3000.0,890.0,1734.0,1261.0,1331.0,692.0,21155.0,338.0
158,1341.0,1565.0,3257.0,1068.0,1872.0,1289.0,1430.0,629.0,22968.0,333.0
159,1905.0,1559.0,5566.0,1249.0,2642.0,1461.0,1679.0,639.0,25106.0,571.0
160,3160.0,1615.0,4757.0,1095.0,2563.0,2035.0,1772.0,479.0,20764.0,829.0
161,1812.0,1611.0,4229.0,1055.0,2623.0,1554.0,2325.0,390.0,19380.0,923.0
162,1764.0,1478.0,4167.0,1115.0,2379.0,1209.0,1557.0,379.0,20931.0,882.0
163,1517.0,1345.0,3971.0,1159.0,2068.0,1702.0,1540.0,381.0,22138.0,989.0
164,1237.0,869.0,3644.0,1174.0,1394.0,1296.0,1330.0,303.0,22180.0,579.0
165,1334.0,1019.0,4318.0,1079.0,1697.0,1238.0,1332.0,325.0,22577.0,609.0
166,1529.0,1465.0,4488.0,1084.0,2106.0,1912.0,1653.0,350.0,25404.0,884.0
167,1388.0,1487.0,4023.0,1067.0,2020.0,1305.0,1885.0,376.0,20814.0,745.0
168,1596.0,1337.0,3700.0,1210.0,1902.0,1249.0,1791.0,391.0,20938.0,1172.0
169,1601.0,1331.0,3255.0,1194.0,1884.0,1655.0,1383.0,344.0,21998.0,707.0
170,1608.0,984.0,3137.0,1147.0,1530.0,1511.0,1433.0,287.0,23434.0,706.0
171,1249.0,642.0,3116.0,912.0,1159.0,1318.0,1122.0,258.0,23006.0,483.0
172,1260.0,798.0,3515.0,871.0,1197.0,1059.0,1139.0,370.0,26077.0,738.0
173,1272.0,951.0,3775.0,1026.0,1337.0,684.0,1174.0,353.0,29227.0,783.0
174,1293.0,802.0,4632.0,1032.0,1178.0,628.0,1297.0,419.0,27497.0,732.0
175,1260.0,732.0,4282.0,953.0,1094.0,677.0,1424.0,351.0,26352.0,686.0
176,1148.0,642.0,3330.0,816.0,856.0,505.0,1035.0,280.0,26244.0,422.0
177,843.0,558.0,2756.0,655.0,718.0,528.0,969.0,290.0,22664.0,242.0
178,918.0,612.0,3141.0,841.0,803.0,486.0,941.0,291.0,31965.0,357.0
179,940.0,820.0,3287.0,864.0,984.0,554.0,1103.0,380.0,34513.0,452.0
180,1329.0,891.0,3558.0,886.0,1165.0,619.0,1216.0,471.0,38984.0,573.0
181,1287.0,1144.0,3354.0,967.0,1148.0,676.0,1363.0,349.0,32860.0,609.0
182,1304.0,898.0,3431.0,1010.0,1229.0,662.0,1322.0,366.0,32783.0,638.0
183,1094.0,835.0,4031.0,860.0,1005.0,658.0,1251.0,340.0,32082.0,577.0
184,1169.0,795.0,8929.0,767.0,1182.0,643.0,1288.0,335.0,31236.0,423.0
185,1189.0,896.0,7648.0,788.0,1268.0,877.0,1336.0,273.0,31410.0,541.0
186,1267.0,1007.0,5708.0,895.0,1374.0,664.0,1384.0,387.0,32073.0,630.0
187,1372.0,1404.0,5054.0,1025.0,1478.0,771.0,1627.0,483.0,33173.0,985.0
188,1376.0,1636.0,4841.0,1137.0,104016.0,808.0,1776.0,426.0,27220.0,921.0
189,1541.0,1294.0,4399.0,1202.0,3490.0,868.0,1717.0,422.0,26230.0,960.0
190,1410.0,1295.0,4033.0,1165.0,1840.0,833.0,1811.0,408.0,26303.0,923.0
191,1456.0,1345.0,3799.0,1096.0,1719.0,862.0,1541.0,413.0,23245.0,837.0
192,1181.0,2382.0,3628.0,927.0,1430.0,675.0,1489.0,365.0,23265.0,590.0
193,1477.0,6108.0,3334.0,951.0,1737.0,709.0,1576.0,377.0,24377.0,663.0
194,1507.0,1411.0,3054.0,1063.0,2072.0,883.0,1887.0,510.0,23765.0,1076.0
195,1495.0,1422.0,3126.0,1061.0,1815.0,1099.0,1934.0,459.0,18518.0,1278.0
196,1405.0,1480.0,3050.0,985.0,1872.0,908.0,1772.0,391.0,16741.0,1435.0
197,1344.0,1639.0,2890.0,945.0,1804.0,987.0,1808.0,489.0,17958.0,1287.0
198,1522.0,1307.0,2635.0,966.0,1674.0,782.0,1536.0,406.0,17327.0,1406.0
199,1169.0,983.0,2744.0,888.0,1280.0,667.0,1383.0,256.0,16661.0,745.0
200,1113.0,1038.0,2666.0,853.0,1459.0,951.0,1586.0,325.0,16318.0,879.0
201,1366.0,1266.0,2965.0,962.0,1607.0,924.0,1966.0,424.0,17055.0,1766.0
202,1393.0,1526.0,2531.0,989.0,1799.0,962.0,1919.0,465.0,15272.0,1618.0
203,1335.0,1565.0,2521.0,966.0,1854.0,1020.0,1941.0,494.0,14025.0,1593.0
204,1569.0,1483.0,2840.0,964.0,1941.0,1391.0,1883.0,452.0,14428.0,1399.0
205,1369.0,1352.0,2497.0,981.0,1792.0,1083.0,1912.0,366.0,13896.0,1244.0
206,1262.0,904.0,2576.0,806.0,1695.0,818.0,1577.0,303.0,14509.0,813.0
207,1397.0,1189.0,2404.0,808.0,1941.0,829.0,1714.0,363.0,15069.0,910.0
208,1894.0,1652.0,2513.0,910.0,2493.0,934.0,1863.0,445.0,14555.0,1495.0
209,1995.0,1617.0,2847.0,1011.0,2025.0,1044.0,2247.0,433.0,12918.0,1739.0
210,1711.0,1635.0,2459.0,968.0,2338.0,1001.0,2057.0,541.0,11968.0,1570.0
211,1622.0,1759.0,2306.0,1020.0,1994.0,1127.0,2152.0,475.0,11893.0,1531.0
212,1556.0,1472.0,2670.0,1040.0,1857.0,1048.0,2007.0,518.0,12053.0,1681.0
213,1240.0,969.0,2594.0,934.0,1419.0,748.0,1589.0,332.0,13271.0,1115.0
214,1299.0,1217.0,2408.0,948.0,1519.0,1005.0,1990.0,344.0,13523.0,1658.0
215,1664.0,1849.0,2600.0,1412.0,2068.0,967.0,2012.0,540.0,12793.0,3410.0
216,1651.0,1827.0,2919.0,987.0,1818.0,1045.0,2077.0,498.0,11196.0,8117.0
217,1782.0,1824.0,2405.0,1029.0,1788.0,921.0,1768.0,482.0,10903.0,3262.0
218,1650.0,1681.0,2472.0,1081.0,1810.0,860.0,1851.0,450.0,10996.0,2007.0
219,1602.0,1494.0,2515.0,1007.0,1668.0,917.0,1850.0,425.0,11667.0,1740.0
220,1322.0,1054.0,2373.0,856.0,1342.0,691.0,1383.0,333.0,12623.0,955.0
221,1319.0,1101.0,2343.0,915.0,1491.0,846.0,1494.0,329.0,12763.0,1144.0
222,1575.0,1438.0,2517.0,1056.0,1760.0,972.0,1837.0,502.0,11769.0,1520.0
223,1572.0,1683.0,2586.0,1119.0,1853.0,1039.0,2302.0,561.0,10994.0,2106.0
224,1542.0,1584.0,2528.0,1023.0,1853.0,952.0,1921.0,586.0,10591.0,6433.0
225,150726.0,1652.0,2619.0,1094.0,1882.0,993.0,1926.0,596.0,9876.0,3251.0
226,5215.0,1296.0,2983.0,897.0,1529.0,900.0,1674.0,458.0,10168.0,2499.0
227,1384.0,943.0,2578.0,886.0,1275.0,825.0,1463.0,393.0,11419.0,1492.0
228,1398.0,972.0,2519.0,844.0,1491.0,842.0,1494.0,408.0,11791.0,1567.0
229,1640.0,1356.0,4211.0,984.0,4337.0,928.0,1922.0,495.0,11841.0,1792.0
230,1808.0,1564.0,35920.0,1102.0,1885.0,1067.0,2061.0,510.0,9954.0,1903.0
231,1565.0,1531.0,12582.0,1162.0,1878.0,1035.0,1977.0,564.0,9837.0,1970.0
232,2893.0,1621.0,7539.0,1148.0,1810.0,1057.0,1901.0,531.0,9288.0,1864.0
233,1974.0,1468.0,6424.0,1089.0,2059.0,1013.0,1843.0,504.0,10152.0,1713.0
234,1408.0,974.0,9531.0,946.0,1325.0,787.0,1481.0,337.0,10357.0,1688.0
235,1406.0,1166.0,6355.0,1006.0,1513.0,774.0,1601.0,397.0,10662.0,3819.0
236,1593.0,1773.0,6112.0,1312.0,1757.0,1032.0,2012.0,478.0,9803.0,2954.0
237,2163.0,1875.0,5530.0,1209.0,1889.0,1135.0,2103.0,487.0,8327.0,2477.0
238,2125.0,1741.0,4689.0,1166.0,1994.0,1015.0,1894.0,526.0,9417.0,3184.0
239,1872.0,1654.0,4015.0,1318.0,1824.0,1025.0,1998.0,435.0,11067.0,2392.0
240,1709.0,1445.0,3462.0,1265.0,1531.0,869.0,2371.0,472.0,12546.0,2367.0
241,1622.0,992.0,3432.0,963.0,1342.0,858.0,1488.0,368.0,9372.0,1536.0
242,1594.0,1223.0,3475.0,1070.0,1512.0,983.0,1534.0,368.0,10326.0,2647.0
243,1505.0,1958.0,2864.0,1017.0,1779.0,1088.0,1987.0,505.0,14051.0,2630.0
244,1660.0,1903.0,3178.0,1082.0,1801.0,1058.0,2132.0,572.0,8832.0,4277.0
245,1441.0,1924.0,3001.0,980.0,1796.0,984.0,1988.0,421.0,8004.0,9331.0
246,1598.0,1883.0,2774.0,1100.0,1765.0,962.0,1770.0,486.0,7966.0,4265.0
247,1359.0,1564.0,2776.0,1028.0,1689.0,923.0,1880.0,452.0,8382.0,3602.0
248,1226.0,943.0,2614.0,1002.0,1184.0,826.0,1555.0,346.0,8957.0,2571.0
249,1185.0,1189.0,2743.0,1264.0,1411.0,923.0,1678.0,502.0,8849.0,4673.0
250,1397.0,1900.0,2730.0,1012.0,1765.0,1118.0,2361.0,804.0,7953.0,5463.0
251,1432.0,1703.0,2833.0,1086.0,1695.0,1098.0,2299.0,508.0,6583.0,3740.0
252,1542.0,1693.0,4228.0,1195.0,1795.0,1038.0,2241.0,566.0,6607.0,6383.0
253,1475.0,1787.0,2573.0,1069.0,1824.0,1086.0,1909.0,596.0,6521.0,4020.0
254,1369.0,2654.0,2477.0,974.0,1474.0,946.0,1780.0,492.0,7555.0,3081.0
255,1297.0,1379.0,2417.0,812.0,1192.0,737.0,1433.0,312.0,7777.0,2692.0
256,1301.0,1275.0,2503.0,938.0,1408.0,794.0,1414.0,367.0,8566.0,3012.0
257,1459.0,1711.0,2423.0,1042.0,1787.0,878.0,2033.0,506.0,7450.0,3487.0
258,1605.0,1626.0,2461.0,1092.0,1758.0,994.0,1873.0,500.0,6566.0,3480.0
259,1581.0,1479.0,2270.0,1192.0,1833.0,1021.0,1790.0,513.0,6217.0,7728.0
260,1411.0,1427.0,2336.0,1141.0,1752.0,923.0,1633.0,429.0,6474.0,4183.0
261,1365.0,1272.0,2253.0,1013.0,1586.0,967.0,1817.0,470.0,6817.0,3098.0
262,1237.0,887.0,2219.0,963.0,1422.0,793.0,1391.0,441.0,7077.0,1974.0
263,1336.0,1000.0,2408.0,869.0,1985.0,809.0,1535.0,376.0,7560.0,1999.0
264,1482.0,1532.0,2313.0,1158.0,2098.0,1017.0,1965.0,510.0,6443.0,2674.0
265,1337.0,1428.0,2388.0,1443.0,2576.0,894.0,1649.0,466.0,6392.0,2222.0
266,1394.0,1419.0,2281.0,1213.0,2491.0,881.0,1583.0,604.0,6458.0,7229.0
267,1367.0,1187.0,2459.0,1321.0,1948.0,966.0,2141.0,866.0,6977.0,1976.0
268,1304.0,982.0,2022.0,1374.0,1549.0,823.0,1853.0,623.0,6931.0,1724.0
269,1189.0,1066.0,1999.0,1531.0,1385.0,771.0,1533.0,453.0,7272.0,1989.0
270,1198.0,900.0,1934.0,1392.0,1465.0,789.0,1701.0,426.0,7774.0,3070.0
